listing_id,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,bath_qty,is_shared_bath,room_type_Hotel room,room_type_Private room,has_smoke_alarm,has_carbon_monoxide_alarm,has_wifi,has_hot_water,has_hangers,has_essentials,has_bed_linens,has_kitchen,has_hair_dryer,has_refrigerator,amenities_count,property_type_Hotel_B_and_B,property_type_House,property_type_Other_Unique,has_license,has_review,occupancy_rate
48121941,0,280,446,West Cambridge,42.37310718758956,-71.1223878093101,4,2.0,2.0,141.0,29,365,4.61,4.58,4.39,4.75,4.86,4.97,4.53,0,97,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,32,0,0,0,0,1,0.6328767123287671
48178756,0,5143,5933,Agassiz,42.38516049999999,-71.1170372,2,1.0,1.0,229.0,32,1125,4.86,4.89,4.87,4.95,4.945,4.93,4.72,1,169,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,0,0.2383561643835616
48178779,0,5143,5933,Agassiz,42.385091,-71.11703080000001,2,1.0,1.0,254.0,32,1125,5.0,5.0,5.0,2.0,5.0,5.0,4.0,1,169,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,1,0.7972602739726027
48178816,0,5143,5933,Agassiz,42.38544,-71.11667,2,1.0,1.0,309.0,32,1125,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1,169,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,1,0.7726027397260274
48178837,0,5143,5933,Agassiz,42.38544,-71.11667,2,1.0,1.0,246.0,32,1125,4.86,4.89,4.87,4.95,4.945,4.93,4.72,1,169,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,0,0.8684931506849315
48282995,1,2,2,The Port,42.36482,-71.09912,1,1.0,1.0,79.0,1,14,4.84,4.9,4.68,4.95,4.89,4.86,4.75,1,2,1.0,1.0,False,True,1,1,1,1,1,1,1,1,1,1,38,0,0,0,1,1,0.5945205479452055
48286373,1,2,2,The Port,42.36457,-71.09875,1,1.0,1.0,77.0,1,14,4.88,4.91,4.75,4.93,4.9,4.87,4.8,1,2,1.0,1.0,False,True,1,1,1,1,1,1,1,1,1,1,40,0,0,0,1,1,0.5287671232876713
48456676,0,5143,5933,Agassiz,42.38516049999999,-71.1170372,4,2.0,2.0,281.0,32,1125,4.86,4.89,4.87,4.95,4.945,4.93,4.72,1,169,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,0,0.3315068493150685
48606573,1,11,19,Mid-Cambridge,42.36979,-71.10409,2,1.0,1.0,258.0,1,30,4.95,4.98,5.0,4.98,4.98,4.97,4.71,1,11,1.0,0.0,False,True,1,1,1,1,1,1,0,1,1,1,34,1,0,0,0,1,0.6356164383561644
48643097,1,5,10,Neighborhood Nine,42.38788,-71.1237,2,1.0,1.0,77.0,5,220,4.78,4.89,4.44,4.94,5.0,4.94,4.89,0,4,1.0,0.0,False,True,1,1,1,1,1,1,0,0,1,0,18,0,1,0,0,1,0.6054794520547945
48926497,0,5143,5933,The Port,42.36380330000001,-71.0997926,2,0.0,1.0,236.0,32,1125,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,169,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,31,0,0,0,0,1,0.8
48990536,0,5143,5933,North Cambridge,42.39838,-71.1338,4,2.0,2.0,337.0,32,1125,4.86,4.89,4.87,4.95,4.945,4.93,4.72,1,169,2.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0.7013698630136986
49026967,0,52,65,Cambridgeport,42.35924941641389,-71.10700902674661,3,1.0,2.0,92.0,28,1125,4.7,4.6,4.3,5.0,4.8,4.9,4.5,0,16,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,37,0,0,0,0,1,0.7863013698630137
49052551,0,52,65,Cambridgeport,42.35961,-71.1061,1,1.0,1.0,63.0,24,1125,4.67,4.44,3.78,4.78,4.89,5.0,4.33,0,16,1.0,0.0,False,True,1,1,1,1,1,1,1,1,1,1,41,0,0,0,0,1,0.6986301369863014
49073289,0,52,65,Cambridgeport,42.36113,-71.10733,2,1.0,1.0,66.0,30,1125,5.0,4.92,4.5,4.92,4.92,4.92,4.83,0,16,1.0,0.0,False,True,1,1,1,1,0,0,1,1,1,0,17,0,0,0,0,1,0.8246575342465754
49138557,0,52,65,Cambridgeport,42.36126965444848,-71.10711246413985,4,1.0,2.0,92.0,25,1125,4.46,4.54,4.54,4.77,4.54,4.77,4.46,0,16,1.0,0.0,False,False,1,1,1,1,0,1,1,1,1,1,19,0,0,0,0,1,0.3808219178082191
49214672,0,52,65,Cambridgeport,42.35945,-71.10787,2,1.0,1.0,75.0,30,1125,4.89,4.89,4.44,5.0,5.0,4.89,4.56,0,16,1.0,0.0,False,True,1,1,1,1,0,1,1,1,1,1,37,0,0,0,0,1,0.8328767123287671
49300336,0,5143,5933,East Cambridge,42.36487379999999,-71.0830428,2,1.0,1.0,315.0,32,1125,4.86,4.89,4.87,4.95,4.945,4.93,4.72,1,169,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,35,0,0,0,0,0,0.3260273972602739
49300348,0,5143,5933,East Cambridge,42.36487379999999,-71.0830428,2,1.0,1.0,315.0,32,1125,4.86,4.89,4.87,4.95,4.945,4.93,4.72,1,169,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,35,0,0,0,0,0,0.7808219178082192
49332762,0,5143,5933,East Cambridge,42.3640528,-71.0835716,2,1.0,1.0,322.0,32,1125,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,169,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,34,0,0,0,0,1,0.3315068493150685
49381421,1,5,10,Riverside,42.36935,-71.11416,2,1.0,1.0,142.0,5,200,4.9,4.8,4.9,5.0,5.0,5.0,4.7,0,4,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,35,0,0,0,0,1,0.4438356164383562
49382833,0,52,65,Riverside,42.36603,-71.11141,4,1.0,2.0,108.0,24,1125,4.63,4.71,4.38,4.71,4.67,4.92,4.38,0,16,1.0,0.0,False,False,1,1,1,0,1,1,0,1,1,1,28,0,0,0,0,1,0.2465753424657534
49414402,0,3,3,The Port,42.36866,-71.09885,4,1.0,2.0,80.0,30,1125,4.52,4.63,4.4,4.73,4.73,4.68,4.48,1,2,1.5,1.0,False,True,1,1,1,1,1,1,1,1,1,1,36,0,0,0,0,1,0.9287671232876712
49633481,0,4,4,Neighborhood Nine,42.38625,-71.12293,4,1.0,2.0,85.0,30,1125,4.77,4.83,4.75,4.94,4.84,4.94,4.69,1,4,3.0,1.0,False,True,1,1,1,1,1,1,1,1,1,1,38,0,0,0,0,1,0.2273972602739726
49709372,0,2,2,Neighborhood Nine,42.38601,-71.12113,2,1.0,1.0,70.0,30,1125,4.69,4.81,4.56,4.9,4.83,4.89,4.64,1,2,3.0,1.0,False,True,1,1,1,1,1,1,1,1,1,1,39,0,0,0,0,1,0.2657534246575342
