id,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,bath_qty,is_shared_bath,room_type_Hotel room,room_type_Private room,has_smoke_alarm,has_carbon_monoxide_alarm,has_wifi,has_hot_water,has_hangers,has_essentials,has_bed_linens,has_kitchen,has_hair_dryer,has_refrigerator,amenities_count,property_type_clean,has_license,has_review
1446601774034134816,0,543,1256,East Cambridge,42.36915,-71.08382,Entire condo,4,2.0,3.0,359.0,3,1125,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,2,2.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,34,Apartment,1,1
1447874951198409920,0,183,251,Area 2/MIT,42.363145,-71.0878918,Entire rental unit,5,2.0,2.0,377.0,30,730,4.86,4.89,4.87,4.95,4.945,4.93,4.72,1,14,2.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,39,Apartment,0,0
1447876004087276541,0,183,251,Area 2/MIT,42.363145,-71.0878918,Entire rental unit,5,2.0,2.0,379.0,30,730,4.86,4.89,4.87,4.95,4.945,4.93,4.72,1,14,2.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,34,Apartment,0,0
1452951335972811486,0,4,7,East Cambridge,42.37194,-71.07348,Entire rental unit,4,2.0,3.0,615.0,3,365,4.86,4.89,4.87,4.95,4.945,4.93,4.72,0,1,2.0,0.0,False,False,1,0,1,0,0,0,0,1,0,0,8,Apartment,0,0
1453975479245436822,0,3,3,North Cambridge,42.39308,-71.13055,Entire guesthouse,4,1.0,1.0,189.0,1,365,5.0,5.0,5.0,5.0,4.94,4.94,4.71,1,1,1.0,0.0,False,False,1,1,1,1,0,0,0,1,0,1,17,House,0,1
1456111746764187509,0,116,206,Riverside,42.36403,-71.11389,Entire rental unit,2,1.0,1.0,148.0,3,365,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0,10,1.0,0.0,False,False,1,1,1,1,0,0,1,1,1,1,30,Apartment,0,1
1461488700013373652,0,5143,5933,Cambridgeport,42.3566171,-71.1062455,Entire rental unit,2,1.0,1.0,325.0,30,1125,4.86,4.89,4.87,4.95,4.945,4.93,4.72,1,169,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,33,Apartment,0,0
1462185011882477570,0,5143,5933,East Cambridge,42.373028,-71.0785923,Entire rental unit,2,1.0,1.0,281.0,30,1125,4.86,4.89,4.87,4.95,4.945,4.93,4.72,1,169,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,34,Apartment,0,0
1462185605613502582,0,5143,5933,East Cambridge,42.373028,-71.0785923,Entire rental unit,2,1.0,1.0,260.0,30,1125,4.86,4.89,4.87,4.95,4.945,4.93,4.72,1,169,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,34,Apartment,0,0
1463379838260676169,0,15,25,Mid-Cambridge,42.37351,-71.10658,Private room in home,2,0.0,1.0,70.0,1,28,4.83,5.0,4.67,5.0,5.0,4.83,5.0,1,8,1.0,1.0,False,True,1,1,1,1,1,1,1,1,1,0,22,House,0,1
1463436344277699858,0,4,7,Wellington-Harrington,42.37277,-71.08997,Entire rental unit,6,1.0,4.0,222.0,91,365,4.86,4.89,4.87,4.95,4.945,4.93,4.72,0,2,1.0,0.0,False,False,1,1,1,1,1,0,1,1,0,1,28,Apartment,0,0
1466017729377657852,0,1,1,Mid-Cambridge,42.37347,-71.10678,Entire rental unit,4,2.0,2.0,248.0,1,365,4.92,4.92,4.85,4.85,4.92,4.92,4.92,0,1,1.0,0.0,False,False,1,1,1,0,0,0,0,1,0,0,11,Apartment,0,1
1466571176275229350,1,4,4,North Cambridge,42.39734712522591,-71.1295735451373,Entire townhouse,14,4.0,7.0,507.0,2,1125,5.0,5.0,5.0,5.0,5.0,4.82,5.0,0,2,3.5,0.0,False,False,1,1,1,0,0,0,0,1,1,0,18,House,0,1
1466971443506714159,1,4,4,East Cambridge,42.36713,-71.07569,Entire loft,14,3.0,7.0,803.0,2,365,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,2,3.5,0.0,False,False,1,1,1,1,1,1,1,1,1,1,55,Apartment,0,1
