host_is_superhost,neighbourhood_cleansed,latitude,longitude,accommodates,bedrooms,price,minimum_nights,maximum_nights,review_scores_rating,instant_bookable,calculated_host_listings_count,bath_qty,is_shared_bath,room_type_Hotel room,room_type_Private room,has_smoke_alarm,has_carbon_monoxide_alarm,has_wifi,has_hot_water,has_hangers,has_essentials,has_bed_linens,has_kitchen,has_hair_dryer,has_refrigerator,amenities_count,property_type_Hotel_B_and_B,property_type_House,property_type_Other_Unique,has_license,has_review,occupancy_rate
0,Mid-Cambridge,42.37125,-71.11183,2,1.0,155.0,91,1125,4.58,0,3,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,26,0,0,0,0,1,0.9917808219178084
1,Mid-Cambridge,42.37196,-71.1122,4,2.0,424.0,30,1125,4.68,0,4,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,51,0,0,0,1,1,1.0
1,Cambridgeport,42.36093,-71.10642,1,1.0,126.0,30,130,4.83,0,1,1.0,0.0,False,True,1,1,1,1,1,1,1,0,0,1,32,0,1,0,1,1,0.6
1,Cambridgeport,42.35704,-71.10909,4,2.0,253.0,1,1125,4.92,1,1,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,60,0,0,0,1,1,0.7315068493150685
0,Cambridgeport,42.36151,-71.104,5,2.0,270.0,3,120,4.71,0,1,2.0,0.0,False,False,1,1,1,1,0,1,1,1,1,1,58,0,1,0,1,1,0.1698630136986301
1,Cambridgeport,42.35854,-71.10955,2,1.0,104.0,21,1125,4.77,0,5,1.0,1.0,False,True,1,1,1,1,1,1,1,1,1,1,64,0,0,0,0,1,0.9068493150684932
1,Mid-Cambridge,42.37301,-71.11301,4,2.0,496.0,30,730,4.62,0,4,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,64,0,0,0,1,1,0.736986301369863
1,West Cambridge,42.37896,-71.12489,2,1.0,229.0,3,90,4.96,0,1,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,25,0,0,0,1,1,0.8547945205479452
1,Wellington-Harrington,42.37032,-71.09317,5,3.0,354.0,2,45,4.87,1,2,1.0,0.0,False,False,1,1,1,1,1,1,0,1,1,1,33,0,0,0,1,1,0.7397260273972602
0,East Cambridge,42.36862,-71.08573,4,2.0,395.0,4,1125,4.93,0,1,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,30,0,0,0,0,1,0.3178082191780822
1,The Port,42.36965,-71.09932,2,1.0,130.0,1,1125,4.8,0,2,1.0,1.0,False,True,1,1,1,1,1,1,0,1,1,1,34,0,0,0,1,1,0.9068493150684932
1,The Port,42.36904,-71.09937,1,1.0,138.0,1,1125,4.86,0,2,1.5,0.0,False,True,1,1,1,1,1,1,1,1,1,0,26,0,0,0,1,1,0.9068493150684932
0,Agassiz,42.38332,-71.11479,4,2.0,95.0,5,365,4.75,0,1,1.0,0.0,False,False,1,1,1,1,1,1,0,1,1,1,36,0,0,0,1,1,0.1698630136986301
1,Cambridgeport,42.36125183105469,-71.11312866210938,2,1.0,147.0,2,730,4.83,0,1,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,59,0,1,0,1,1,0.4904109589041096
